PRECIOS ENERO 2026 ,,,,,
,CIBIC,GORNITZ,FPM,MANLAB,LERDA 
ACIDO 5 HIDROXI ,," $14.224,85"," $13.587,11"," $16.442,90",
ACIDO FOLICO," $3.339,00"," $3.798,53"," $6.605,79"," $1.489,67",
ACTH (HORMONA ADRENOCORTICOTROFA)," $4.171,00"," $3.399,17"," $9.030,24"," $2.973,23",
ADRENALINA EN SANGRE ," $16.310,00"," $50.500,00"," $10.242,54",-,
ADRENALINA EN ORINA ," $16.310,00"," $50.500,00"," $10.242,54",-,
ALDOSTERONA ," $9.109,00"," $32.772,03"," $13.012,28"," $14.676,87",
ALFA FETO PROTEINA ," $3.006,00"," $2.155,83"," $5.344,02"," $1.488,93",
ALTERACION 17 P53 ," $257.898,00",," $517.303,00"," $179.325,56",
ALTERACION 17 P53 + 5Q+ 7Q,-,-,-,-,
ALTERACION 5Q - FISH ,-,-,-,-,
ALTERACION 7Q - FISH ,-,-,-,-,
ANTI CUERPO ANTIMUSCULO LISO," $4.184,00"," $2.669,21"," $7.154,85"," $5.333,27",
ANTI CUERPO ANTINUCLEAR FAN ," $7.247,00"," $5.379,57"," $4.444,35"," $2.474,16",
ANTI DNA ," $8.518,00"," $2.873,56"," $9.115,67"," $9.200,37",
ANTI LA (LA/SSB)," $12.777,00"," $11.606,81"," $8.691,51"," $5.854,55",
ANTI M2 (ANTI MITOCRONDRIALES)," $16.701,00"," $17.553,33"," $20.620,66"," $13.572,55",
ANTI RO (LA/SSB)," $12.777,00",IGUAL LA," $9.324,49"," $5.854,55",
ANTI TRIPSINA 1 (SANGRE)," $2.940,00"," $7.021,81",-," $2.385,65",
ANTICOAGULANTE LUPICO ," $10.792,00"," $12.319,05"," $20.155,68"," $18.550,04",
ANTIGENO PROSTATICO ," $1.967,00"," $2.589,87"," $3.749,03"," $1.341,55",
ANTITROMBINA III FUNCIONAL ," $20.251,00"," $11.854,01"," $16.336,71"," $7.221,23",
